edad,antiguedad_cliente,siniestros_ult_3_anios,tipo_vehiculo,uso_vehiculo,zona_residencia,tiene_garage,riesgo_asegurado
50,8,2,camioneta,comercial,urbana,no,medio
68,14,0,camioneta,comercial,suburbana,no,medio
60,16,2,moto,particular,urbana,si,bajo
54,3,3,camioneta,comercial,urbana,no,alto
29,11,1,auto,comercial,suburbana,si,bajo
20,4,1,camioneta,particular,rural,no,medio
18,4,1,camioneta,particular,rural,no,medio
50,10,2,camioneta,comercial,suburbana,si,bajo
57,5,4,moto,particular,suburbana,no,medio
27,6,4,auto,particular,rural,si,bajo
60,13,1,camioneta,particular,rural,si,bajo
61,10,1,moto,comercial,rural,si,bajo
46,12,6,camioneta,particular,rural,no,medio
30,1,1,auto,comercial,rural,no,medio
29,6,2,camioneta,comercial,suburbana,si,bajo
48,19,0,auto,comercial,urbana,no,medio
63,3,1,camioneta,comercial,rural,no,medio
19,7,3,auto,particular,rural,no,medio
68,19,4,camioneta,comercial,urbana,si,alto
67,18,3,auto,particular,urbana,no,alto
52,12,2,camioneta,comercial,urbana,si,medio
40,13,0,camioneta,particular,urbana,no,medio
34,9,1,moto,comercial,urbana,no,medio
43,10,1,moto,particular,urbana,si,bajo
25,1,3,auto,comercial,suburbana,no,medio
46,8,4,camioneta,comercial,urbana,si,medio
43,16,1,auto,particular,urbana,no,medio
27,2,1,moto,comercial,suburbana,si,bajo
43,5,1,auto,comercial,urbana,no,medio
51,4,1,auto,comercial,rural,no,medio
68,4,2,moto,particular,rural,no,medio
58,14,2,camioneta,comercial,urbana,si,medio
24,16,2,auto,comercial,suburbana,si,medio
21,8,3,moto,particular,rural,si,medio
70,2,1,camioneta,particular,suburbana,no,medio
67,19,2,moto,particular,rural,si,bajo
62,16,1,auto,particular,urbana,si,bajo
28,9,2,camioneta,particular,suburbana,si,bajo
46,2,1,camioneta,comercial,suburbana,si,bajo
73,17,1,moto,comercial,suburbana,si,medio
53,17,2,moto,comercial,rural,si,bajo
42,16,1,moto,particular,rural,si,bajo
38,2,1,camioneta,comercial,rural,si,bajo
74,2,0,camioneta,particular,urbana,si,medio
53,5,1,auto,particular,rural,si,bajo
27,12,1,camioneta,comercial,urbana,no,medio
54,14,2,auto,particular,suburbana,no,bajo
26,8,0,moto,particular,suburbana,si,bajo
41,3,2,moto,comercial,urbana,no,medio
52,13,3,camioneta,particular,rural,no,medio
66,4,0,moto,particular,urbana,si,medio
52,1,2,moto,comercial,suburbana,si,bajo
65,10,2,camioneta,particular,suburbana,si,bajo
53,8,1,auto,particular,urbana,no,medio
35,2,2,camioneta,comercial,rural,si,bajo
66,8,0,auto,comercial,rural,no,medio
56,2,3,camioneta,comercial,urbana,si,medio
49,1,3,camioneta,comercial,urbana,no,alto
41,11,0,moto,particular,rural,no,bajo
40,9,1,camioneta,particular,suburbana,si,bajo
49,8,2,camioneta,comercial,urbana,si,medio
54,14,1,auto,particular,rural,no,bajo
29,7,2,moto,particular,rural,no,bajo
66,4,0,auto,comercial,suburbana,si,medio
72,10,1,auto,comercial,suburbana,si,medio
30,1,3,moto,particular,suburbana,no,medio
40,14,2,moto,comercial,suburbana,si,bajo
42,5,3,moto,comercial,suburbana,no,medio
52,7,1,camioneta,comercial,urbana,si,medio
58,4,0,moto,particular,rural,si,bajo
47,15,2,moto,comercial,urbana,si,medio
34,17,1,moto,particular,urbana,no,medio
66,5,1,auto,particular,urbana,si,medio
37,4,0,auto,particular,urbana,no,medio
65,15,2,camioneta,comercial,urbana,si,medio
42,12,1,auto,comercial,suburbana,no,medio
39,4,6,camioneta,comercial,suburbana,no,medio
30,12,3,auto,comercial,rural,si,medio
36,16,0,moto,comercial,urbana,no,medio
66,17,2,auto,particular,rural,no,medio
53,7,1,camioneta,particular,suburbana,no,bajo
29,12,2,auto,particular,suburbana,no,bajo
58,18,3,moto,comercial,suburbana,si,medio
36,2,2,camioneta,particular,urbana,si,bajo
29,7,2,moto,particular,urbana,si,bajo
26,1,2,moto,comercial,suburbana,no,medio
24,7,0,camioneta,comercial,rural,no,medio
45,12,1,moto,particular,rural,si,bajo
31,12,0,moto,particular,suburbana,si,bajo
48,0,2,auto,comercial,rural,no,medio
69,5,2,moto,comercial,suburbana,si,medio
36,18,1,moto,comercial,rural,si,bajo
64,15,0,moto,comercial,suburbana,no,medio
33,7,0,moto,particular,rural,si,bajo
70,0,0,camioneta,particular,urbana,no,medio
22,15,4,auto,comercial,suburbana,si,medio
52,8,1,moto,particular,suburbana,no,bajo
29,12,1,moto,particular,rural,no,bajo
42,10,1,camioneta,comercial,suburbana,no,medio
69,12,3,moto,particular,suburbana,no,medio
38,9,3,camioneta,particular,suburbana,no,medio
53,3,3,auto,particular,urbana,si,medio
70,5,1,auto,comercial,urbana,si,medio
40,6,1,moto,comercial,rural,si,bajo
33,4,5,moto,particular,urbana,no,medio
74,10,1,moto,comercial,rural,si,medio
56,12,1,camioneta,comercial,urbana,no,medio
62,18,1,moto,comercial,rural,no,medio
70,9,0,moto,particular,urbana,si,medio
59,9,0,auto,particular,urbana,no,medio
56,10,0,moto,comercial,rural,si,bajo
31,6,3,auto,particular,suburbana,no,medio
48,17,0,moto,particular,suburbana,no,bajo
22,3,0,auto,particular,urbana,si,medio
52,1,0,moto,particular,rural,no,bajo
40,13,1,auto,particular,suburbana,si,bajo
46,12,1,camioneta,comercial,rural,no,medio
60,11,0,auto,particular,suburbana,si,bajo
28,6,2,auto,particular,rural,no,bajo
35,1,0,auto,particular,urbana,si,bajo
64,12,1,moto,comercial,rural,si,bajo
29,13,0,moto,comercial,suburbana,no,medio
26,16,3,moto,comercial,urbana,si,medio
27,8,2,camioneta,particular,rural,no,bajo
61,16,1,camioneta,comercial,suburbana,no,medio
34,7,1,auto,comercial,urbana,si,medio
55,1,3,camioneta,comercial,rural,si,medio
24,12,1,auto,comercial,suburbana,si,medio
63,2,1,auto,particular,rural,si,bajo
30,15,1,auto,comercial,rural,si,bajo
57,5,2,camioneta,comercial,urbana,no,medio
59,18,1,moto,particular,urbana,si,bajo
26,6,0,camioneta,particular,suburbana,no,bajo
67,9,1,auto,comercial,urbana,si,medio
44,8,2,auto,particular,suburbana,si,bajo
19,1,1,camioneta,comercial,rural,si,medio
22,14,0,auto,particular,rural,no,medio
46,4,5,auto,particular,suburbana,si,bajo
54,3,2,camioneta,comercial,rural,no,medio
55,19,0,camioneta,particular,urbana,no,medio
36,3,3,camioneta,comercial,rural,no,medio
25,17,3,auto,particular,urbana,si,medio
65,3,0,auto,comercial,suburbana,no,medio
62,16,2,moto,particular,suburbana,si,bajo
18,11,1,moto,particular,rural,no,medio
39,16,1,camioneta,particular,rural,si,bajo
69,9,2,moto,particular,urbana,no,medio
34,0,2,auto,particular,urbana,si,bajo
24,17,0,moto,comercial,rural,si,medio
42,17,1,auto,particular,rural,si,bajo
62,13,0,camioneta,comercial,suburbana,no,medio
21,14,1,camioneta,comercial,suburbana,no,medio
53,11,3,auto,comercial,suburbana,si,medio
23,3,0,moto,particular,rural,no,medio
48,2,2,camioneta,comercial,rural,no,medio
36,19,3,camioneta,particular,rural,no,medio
61,11,4,moto,comercial,suburbana,no,medio
71,6,1,moto,comercial,rural,no,medio
56,10,3,auto,comercial,urbana,no,alto
44,0,0,moto,comercial,rural,no,medio
27,5,5,moto,comercial,rural,si,medio
43,14,3,moto,particular,rural,si,bajo
36,14,2,auto,comercial,rural,no,medio
56,18,0,auto,comercial,rural,si,bajo
20,10,1,camioneta,particular,urbana,si,medio
62,1,0,auto,particular,urbana,si,bajo
30,13,2,camioneta,particular,rural,no,bajo
67,1,0,moto,comercial,suburbana,no,medio
45,3,0,camioneta,comercial,rural,no,medio
37,16,2,camioneta,comercial,rural,no,medio
45,2,2,moto,comercial,rural,no,medio
25,12,1,camioneta,comercial,suburbana,si,bajo
58,8,2,auto,comercial,suburbana,no,medio
56,6,1,auto,particular,suburbana,si,bajo
18,14,1,auto,particular,urbana,no,medio
20,10,1,auto,comercial,suburbana,si,medio
30,19,4,camioneta,comercial,urbana,no,alto
45,1,0,camioneta,comercial,urbana,no,medio
74,14,2,moto,comercial,suburbana,no,medio
66,13,0,camioneta,comercial,suburbana,no,medio
42,19,1,camioneta,particular,suburbana,no,bajo
73,10,1,camioneta,particular,urbana,no,medio
50,2,1,moto,comercial,rural,si,bajo
55,16,1,auto,particular,suburbana,no,bajo
70,11,5,camioneta,comercial,suburbana,si,medio
23,14,1,moto,comercial,suburbana,no,medio
61,15,1,moto,comercial,urbana,si,medio
62,4,0,moto,particular,urbana,si,bajo
49,19,3,auto,particular,rural,si,bajo
62,5,2,camioneta,comercial,suburbana,si,bajo
64,18,0,moto,particular,urbana,si,bajo
38,4,1,auto,particular,rural,si,bajo
33,2,0,moto,comercial,suburbana,no,medio
71,0,2,moto,particular,urbana,si,medio
38,5,1,moto,particular,suburbana,no,bajo
28,14,1,moto,comercial,suburbana,no,medio
54,1,3,moto,comercial,urbana,si,medio
53,2,3,auto,particular,urbana,si,medio
52,16,4,camioneta,comercial,urbana,no,alto
36,11,2,camioneta,particular,suburbana,si,bajo
37,17,1,camioneta,comercial,suburbana,si,bajo
74,14,3,camioneta,comercial,rural,si,medio
35,11,0,auto,comercial,suburbana,si,bajo
64,15,5,auto,comercial,urbana,si,medio
58,7,0,auto,particular,suburbana,si,bajo
66,13,2,moto,comercial,rural,si,medio
31,16,2,moto,comercial,rural,no,medio
32,7,3,moto,comercial,urbana,si,medio
48,14,1,camioneta,particular,urbana,no,medio
18,13,2,moto,particular,rural,no,medio
70,17,2,camioneta,comercial,rural,no,medio
71,19,1,moto,comercial,rural,no,medio
71,6,0,camioneta,comercial,urbana,si,medio
20,2,5,moto,comercial,rural,no,alto
33,11,2,moto,comercial,rural,no,medio
40,2,0,auto,comercial,urbana,no,medio
74,19,1,moto,particular,suburbana,no,medio
28,13,3,moto,comercial,suburbana,no,medio
29,14,0,auto,comercial,rural,si,bajo
27,13,0,camioneta,comercial,suburbana,si,bajo
49,6,1,auto,comercial,suburbana,no,medio
33,16,4,auto,comercial,suburbana,si,medio
25,11,2,camioneta,comercial,suburbana,si,bajo
55,19,1,moto,particular,rural,no,bajo
29,3,2,camioneta,particular,suburbana,no,bajo
41,8,4,moto,particular,suburbana,no,medio
45,5,0,moto,particular,urbana,si,bajo
70,15,1,camioneta,particular,rural,no,medio
25,1,4,auto,particular,urbana,si,medio
45,7,1,camioneta,comercial,urbana,si,medio
53,10,0,moto,comercial,rural,si,bajo
43,12,1,camioneta,comercial,suburbana,no,medio
25,16,1,camioneta,comercial,urbana,si,medio
67,7,0,moto,comercial,rural,no,medio
45,17,0,auto,comercial,suburbana,no,medio
45,17,4,camioneta,particular,rural,no,medio
54,13,2,moto,comercial,urbana,no,medio
58,14,1,moto,particular,suburbana,no,bajo
53,5,1,camioneta,particular,suburbana,si,bajo
44,10,1,auto,comercial,rural,si,bajo
71,12,0,camioneta,comercial,suburbana,si,medio
34,0,1,auto,comercial,urbana,si,medio
26,5,2,auto,comercial,urbana,si,medio
50,8,0,auto,comercial,urbana,no,medio
70,7,1,auto,comercial,rural,no,medio
37,10,2,camioneta,comercial,suburbana,si,bajo
30,18,2,moto,particular,suburbana,si,bajo
45,8,1,moto,comercial,suburbana,si,bajo
65,16,1,moto,comercial,urbana,no,medio
46,11,1,moto,particular,suburbana,no,bajo
30,13,1,moto,comercial,urbana,no,medio
63,14,1,moto,comercial,suburbana,si,bajo
52,15,3,camioneta,particular,urbana,si,medio
23,19,2,auto,comercial,suburbana,si,medio
35,0,4,moto,comercial,rural,si,medio
68,9,2,camioneta,comercial,rural,no,medio
22,7,2,moto,comercial,urbana,si,medio
64,17,2,moto,comercial,urbana,si,medio
42,0,2,auto,comercial,suburbana,si,bajo
19,1,0,auto,particular,suburbana,no,medio
27,0,1,auto,comercial,rural,no,medio
73,0,2,moto,comercial,suburbana,si,medio
47,8,1,moto,particular,urbana,no,medio
67,12,1,moto,particular,urbana,no,medio
62,0,1,auto,comercial,urbana,no,medio
22,12,1,camioneta,particular,urbana,no,medio
72,19,1,moto,comercial,urbana,no,alto
73,6,0,moto,comercial,rural,si,medio
50,1,2,moto,particular,rural,si,bajo
71,5,2,camioneta,comercial,urbana,si,medio
18,6,2,moto,comercial,suburbana,no,medio
35,13,0,camioneta,particular,urbana,no,medio
49,17,3,moto,particular,rural,no,medio
64,14,1,camioneta,particular,urbana,no,medio
66,1,0,moto,particular,rural,si,bajo
28,9,1,auto,comercial,rural,si,bajo
38,11,1,auto,particular,urbana,si,bajo
43,16,4,auto,particular,urbana,si,medio
42,7,1,auto,particular,suburbana,si,bajo
39,10,0,moto,particular,rural,si,bajo
44,2,2,auto,particular,suburbana,no,bajo
66,5,1,camioneta,comercial,urbana,no,alto
30,8,1,auto,particular,rural,si,bajo
50,5,1,auto,comercial,suburbana,no,medio
51,8,1,auto,particular,suburbana,si,bajo
58,6,1,moto,particular,suburbana,si,bajo
52,8,3,auto,particular,urbana,no,medio
18,17,1,camioneta,particular,urbana,si,medio
38,11,0,auto,particular,urbana,si,bajo
65,7,0,auto,particular,rural,si,bajo
72,7,1,auto,particular,urbana,no,medio
23,17,3,camioneta,particular,rural,no,medio
45,19,0,auto,comercial,suburbana,no,medio
34,14,0,camioneta,particular,suburbana,no,bajo
22,6,2,camioneta,comercial,urbana,si,medio
48,10,0,auto,particular,suburbana,no,bajo
22,19,0,camioneta,comercial,urbana,no,alto
55,15,1,moto,particular,rural,no,bajo
20,3,0,auto,particular,suburbana,si,bajo
70,5,1,auto,particular,urbana,no,medio
40,2,1,camioneta,comercial,suburbana,no,medio
54,8,0,camioneta,comercial,suburbana,si,bajo
70,9,2,auto,comercial,urbana,si,medio
54,13,1,moto,comercial,suburbana,si,bajo
27,10,1,camioneta,particular,suburbana,si,bajo
27,17,3,camioneta,particular,suburbana,no,medio
36,11,0,moto,particular,suburbana,si,bajo
34,11,0,moto,comercial,rural,no,medio
38,12,3,auto,particular,suburbana,no,medio
31,12,1,moto,comercial,suburbana,no,medio
26,18,3,auto,comercial,urbana,no,alto
63,18,2,moto,comercial,rural,no,medio
18,13,4,camioneta,comercial,urbana,si,alto
68,3,2,auto,comercial,urbana,no,alto
62,12,4,auto,particular,urbana,no,medio
30,7,1,auto,comercial,rural,no,medio
21,18,1,moto,comercial,urbana,si,medio
18,11,3,camioneta,particular,urbana,no,alto
66,17,2,auto,comercial,urbana,no,alto
57,5,0,auto,comercial,suburbana,si,bajo
49,17,0,auto,particular,urbana,no,medio
51,18,1,auto,particular,rural,no,bajo
45,4,2,camioneta,particular,rural,si,bajo
48,8,1,moto,comercial,suburbana,no,medio
25,2,3,camioneta,particular,rural,no,medio
56,9,3,auto,particular,rural,no,medio
43,18,0,camioneta,particular,suburbana,no,bajo
51,2,0,auto,comercial,urbana,no,medio
71,14,2,moto,particular,suburbana,si,bajo
71,0,4,moto,comercial,urbana,si,alto
20,6,1,moto,comercial,urbana,si,medio
67,11,0,auto,particular,rural,no,medio
29,16,1,camioneta,comercial,suburbana,no,medio
18,19,1,moto,comercial,rural,no,medio
71,4,2,auto,particular,rural,si,bajo
61,3,1,auto,comercial,urbana,no,medio
22,11,2,camioneta,particular,rural,no,medio
47,19,0,moto,comercial,suburbana,no,medio
47,17,2,auto,comercial,rural,si,bajo
74,16,4,camioneta,particular,rural,si,medio
34,18,3,moto,particular,urbana,no,medio
65,8,0,camioneta,comercial,suburbana,no,medio
64,3,2,camioneta,comercial,rural,no,medio
40,1,2,auto,particular,urbana,si,bajo
32,3,1,auto,comercial,rural,si,bajo
54,1,0,auto,comercial,suburbana,si,bajo
38,14,2,camioneta,comercial,rural,no,medio
31,1,2,auto,comercial,rural,si,bajo
19,3,0,camioneta,particular,urbana,no,medio
28,5,1,camioneta,particular,rural,no,bajo
68,6,3,auto,particular,urbana,si,medio
56,9,2,moto,particular,suburbana,no,bajo
55,18,0,moto,particular,rural,si,bajo
51,18,0,moto,particular,suburbana,no,bajo
55,11,2,camioneta,comercial,suburbana,no,medio
67,2,1,camioneta,particular,rural,si,bajo
51,12,1,camioneta,comercial,urbana,no,medio
35,17,3,auto,comercial,suburbana,no,medio
47,7,2,camioneta,comercial,suburbana,no,medio
32,14,0,auto,particular,rural,no,bajo
44,0,0,auto,comercial,rural,no,medio
68,2,2,moto,particular,rural,no,medio
51,7,0,moto,comercial,rural,no,medio
69,3,3,moto,comercial,rural,no,alto
74,15,1,auto,particular,rural,si,bajo
55,9,1,auto,comercial,urbana,si,medio
50,11,3,auto,comercial,suburbana,no,medio
41,13,1,camioneta,comercial,urbana,no,medio
32,13,0,auto,comercial,urbana,si,medio
47,1,4,moto,particular,rural,no,medio
72,4,1,moto,comercial,suburbana,si,medio
59,4,3,auto,comercial,urbana,si,medio
68,5,1,auto,particular,rural,si,bajo
34,12,3,moto,comercial,rural,no,medio
22,8,1,auto,comercial,suburbana,no,medio
46,14,0,moto,comercial,urbana,no,medio
21,13,1,camioneta,comercial,urbana,si,medio
27,6,2,moto,particular,urbana,si,bajo
73,19,1,camioneta,comercial,rural,si,medio
34,1,0,auto,particular,suburbana,no,bajo
27,6,1,auto,comercial,suburbana,si,bajo
34,5,1,camioneta,comercial,urbana,si,medio
37,16,2,auto,comercial,rural,no,medio
41,1,3,camioneta,particular,urbana,si,medio
22,2,5,auto,comercial,suburbana,si,medio
51,4,3,moto,comercial,rural,no,medio
23,4,2,auto,particular,urbana,no,medio
